2,1,2.00009e-005,0.000140007
2,2,0.000120003,0.00032497
2,4,0.000180001,0.00038419
2,8,0.000319993,0.000466467
2,12,0.000439999,0.000496386
2,16,0.000500002,0.000500002
2,24,0.000609999,0.000487749
2,32,0.00108,0.00214326
4,1,0.000150001,0.00129904
4,2,9.99999e-005,0.0003
4,4,0.000190001,0.000392302
4,8,0.000360005,0.000480007
4,12,0.000440001,0.000496389
4,16,0.000629997,0.00050309
4,24,0.00086,0.000400498
4,32,0.00115,0.0022198
8,1,3.00002e-005,0.000170588
8,2,8.00037e-005,0.000271306
8,4,0.000170002,0.000375637
8,8,0.000310001,0.000462495
8,12,0.000470002,0.000499101
8,16,0.000619998,0.000505565
8,24,0.000839996,0.00046303
8,32,0.000980008,0.00219079
16,1,2.99978e-005,0.000170575
16,2,0.000100005,0.000300014
16,4,0.000130002,0.000364837
16,8,0.00029,0.000453763
16,12,0.000429997,0.000495073
16,16,0.000530005,0.000499103
16,24,0.00075,0.000476969
16,32,0.000999999,0.00258457
32,1,3.99995e-005,0.000195957
32,2,7.00021e-005,0.000255155
32,4,0.000100002,0.000300007
32,8,0.000250001,0.000433014
32,12,0.000390003,0.000487753
32,16,0.00046,0.000498397
32,24,0.000669997,0.00047021
32,32,0.000910003,0.0021545
64,1,9.99999e-005,0.0003
64,2,0.000119996,0.000324951
64,4,0.000119998,0.000324957
64,8,0.000229998,0.000420828
64,12,0.000339999,0.000473708
64,16,0.000469995,0.000537678
64,24,0.000819998,0.000384186
64,32,0.00098999,0.00213304
128,1,0.000560005,0.00217863
128,2,0.000250003,0.000433018
128,4,0.000160003,0.000366612
128,8,0.000309999,0.000483633
128,12,0.000360005,0.000480007
128,16,0.000330005,0.000470219
128,24,0.000599992,0.00152971
128,32,0.000510001,0.000499901
256,1,0.0011,0.00336006
256,2,0.000780008,0.00260224
256,4,0.000410006,0.0016254
256,8,0.000509982,0.00163398
256,12,0.000439992,0.00162678
256,16,0.000510008,0.000499908
256,24,0.000670002,0.00217282
256,32,0.000700006,0.0021
512,1,0.00266,0.00506008
512,2,0.00139,0.00395701
512,4,0.00143999,0.00337438
512,8,0.00117999,0.000455641
512,12,0.00114,0.000374698
512,16,0.00103999,0.000195956
512,24,0.00140001,0.000509906
512,32,0.00135,0.000476965
1024,1,0.01436,0.00240631
1024,2,0.00654999,0.00415541
1024,4,0.00391,0.00626913
1024,8,0.00241,0.00521554
1024,12,0.00164,0.00431862
1024,16,0.00267,0.00549009
1024,24,0.00244001,0.00473988
1024,32,0.00145,0.00424118
2048,1,0.0563,0.00756769
2048,2,0.02921,0.00585882
2048,4,0.01548,0.00267388
2048,8,0.00838001,0.00768737
2048,12,0.00493999,0.00703109
2048,16,0.00341,0.00634523
2048,24,0.00514001,0.00691525
2048,32,0.00439,0.00662554
4096,1,0.2243,0.00630793
4096,2,0.11339,0.00670207
4096,4,0.05734,0.00732424
4096,8,0.0306,0.00321559
4096,12,0.02297,0.00780058
4096,16,0.0173,0.00497694
4096,24,0.01878,0.00609686
4096,32,0.01439,0.00404448
8192,1,0.90113,0.0128465
8192,2,0.45656,0.0190286
8192,4,0.23313,0.00948541
8192,8,0.12072,0.0104394
8192,12,0.08566,0.0107137
8192,16,0.06267,0.00622422
8192,24,0.0686,0.00743774
8192,32,0.05309,0.00753805
